user,date,content,replyCount,retweetCount,likeCount
JoelEmbiid,[  42   10 2021],Hala Madrid #ElClasico,141,1203,10060
JoelEmbiid,[  41   10 2021],"Elevate your game by pre-registering for #NBANow 22, and get a Player Card of me when the game launches: https://t.co/ILBIxyNdXC #ad https://t.co/nJpM5mKG9v",62,39,638
JoelEmbiid,[  40   10 2021],Anyways they gotta drug test Wilder lmao,120,658,10713
JoelEmbiid,[  40   10 2021],NIGHT NIGHT WILDER!!!! THE GYPSY KING WOW,85,677,7950
JoelEmbiid,[  37    9 2021],#HalaMadrid,239,2462,19338
JoelEmbiid,[  36    9 2021],DJOKOVIC,151,518,7329
JoelEmbiid,[  35    9 2021],"For clarity, I love the criticism, I love when I’m told I can’t do something. It makes me work harder to prove everyone wrong but not everyone is built like that.",1053,3962,32891
JoelEmbiid,[  35    9 2021],"I haven’t forgotten but 2 years ago, I got booed, people in Philly wanted me to be traded. I even shushed them. Only the real ones didn’t but I just put the work in that offseason to be better cuz I knew I wasn’t playing up to my potential. Philly fans, y’all also gotta be better",2214,4887,56066
JoelEmbiid,[  35    9 2021],"From my own experience, y’all have no idea how much this media makes up stuff for followers and shame on you for believing them.",525,2930,28399
JoelEmbiid,[  35    9 2021],Sources “Trust me bro”!! Stop using my name to push people’s agendas. I love and hate drama. I love playing with Ben. Stats don’t lie. He’s an amazing player and we all didn’t get the job done. It’s on me personally. I hope everyone is back cuz we know we’re good enough to win https://t.co/1kq9VI9byE,1135,6852,53288
JoelEmbiid,[  35    8 2021],It’s cool. We’ll get it done in January #HalaMadrid,404,3189,23144
JoelEmbiid,[  35    8 2021],Any Real Madrid trade news? #HalaMadrid,888,1649,19260
JoelEmbiid,[  34    8 2021],HALA MADRID,260,2251,22499
JoelEmbiid,[  34    8 2021],The real question is who takes pens? Penaldo or Penandes? I’m a half United fan btw cuz of my boy PP https://t.co/uTlgT0luJh,384,1040,10470
JoelEmbiid,[  34    8 2021],I’m still scarred by that Suarez hand ball Which cost my African brothers a semifinal in the World Cup,378,1989,16676
JoelEmbiid,[  34    8 2021],That Lad Salah has always been underrated #LIVCHE,200,619,6520
JoelEmbiid,[  34    8 2021],Penalty!!! Red card!! Right call,475,576,9903
JoelEmbiid,[  33    8 2021],LMAO!! First year playing ball 10 years ago.. No wonder they had me playing on the JV squad. KG said it  “Anything is possible” ha https://t.co/DdsC7xrKHK,546,7714,86451
JoelEmbiid,[  33    8 2021],There’s no place like PHILADELPHIA!!! Excited to continue working towards bringing a title home and eventually retire here #PHILLY https://t.co/V7YLAbRxAD,1093,5810,46243
JoelEmbiid,[  31    8 2021],ELITE https://t.co/jqBM7cTXRU,225,1320,24139
JoelEmbiid,[  31    8 2021],Mbappe to Weal Wadrid is a common W for the biggest club in the world #HalaMadrid,655,2940,23871
JoelEmbiid,[  31    8 2021],RATIO,1020,2983,38585
JoelEmbiid,[  31    8 2021],What’s going on??,1452,2483,32420
JoelEmbiid,[  29    7 2021],Allez les Bleus!!!!,392,5898,44579
JoelEmbiid,[  28    7 2021],I wish I could trade cards in FIFA #FIFA22,196,221,8261
JoelEmbiid,[  28    7 2021],Silver 1 rewards Thanks @EASPORTSFIFA…. Obviously going with Jordi #FIFA21 https://t.co/6sdgLr4T6d,109,71,3014
JoelEmbiid,[  27    7 2021],England wished they had Penandes!!!,363,2280,18190
JoelEmbiid,[  27    7 2021],ITALIA!!!!,152,1521,14328
JoelEmbiid,[  27    7 2021],I was hoping my Brazilian people would’ve won it but I’m happy for Messi.. He deserves it #HalaMadrid,378,948,13007
JoelEmbiid,[  27    7 2021],MESSI!!!!! 🐐🐐🐐🐐,622,11253,76888
JoelEmbiid,[  25    6 2021],"PHILLY I LOVE YOU
Sorry to disappoint you again Just know that I gave everything I had knowing the circumstances. If there’s one thing I’ve learned being here, it’s the TOUGHNESS this city has and that’s why I played with a torn meniscus. THANK YOU FOR THE SUPPORT ALL YEAR LONG!! https://t.co/CsR47xOJDZ",4022,10247,101852
JoelEmbiid,[  23    6 2021],Nothing shall keep me down… I’m gonna keep getting back up #ThrustTheProcess https://t.co/bKxA9AXh8r,805,3410,32720
JoelEmbiid,[  21    5 2021],"If you’re not down with the process, I got two words for ya **** ** #ThrustTheProcess #DX https://t.co/oUr8Rst2XT",911,8321,52683
JoelEmbiid,[  19    5 2021],"From where we were 5 years ago, this year has been so fun and incredible but the real fun starts now #TheProcess https://t.co/mzjdpDYRfb",335,1539,15668
JoelEmbiid,[  18    5 2021],Don’t miss your chance to bid on my game worn sneakers beginning today at https://t.co/QtUkpbSChW!! https://t.co/MQa8jCSJpe,65,79,1509
JoelEmbiid,[  15    4 2021],Winning and Dominating is fun... Life’s GOOD!!!! @UABasketball #EmbiidOne “Goldmind” https://t.co/vULC3J54SK,325,1085,14272
JoelEmbiid,[  14    4 2021],Madrid is playing 532 drop back 1 depth counter and I love it lmao... FIFA 21 has been real all this time @EASPORTSFIFA #ElClasico #Fifa21,133,854,10495
JoelEmbiid,[  14    4 2021],Hala Madrid #ElClasico,302,3444,26534
JoelEmbiid,[  12    3 2021],"#ad I’ve been playing @crashontherun non-stop since it came out this week. Making potions, defeating the bosses and collecting all the gems! Check it out and play for free https://t.co/5Y7wXbzoCh #crashontherun https://t.co/KJ3guKGiwC",174,94,2257
JoelEmbiid,[  12    3 2021],Don’t get it twisted... I would still take you ha. Félicitations!!!! @francis_ngannou https://t.co/CszGHJTnoL,227,1949,24060
JoelEmbiid,[  12    3 2021],FRANCIS NGANNOU 🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲,230,3843,32906
JoelEmbiid,[  12    3 2021],Y’all better do it... He’s the TRUTH!!!!! @okcthunder https://t.co/vlctOjlGU2,245,2010,26499
JoelEmbiid,[  10    3 2021],That’s it!!! I’ve seen enough. Build around Tony Bradley @sixers,442,3426,40916
JoelEmbiid,[  10    3 2021],Mickey Mouse All Star Game ha,1830,10879,99796
JoelEmbiid,[  10    3 2021],Looking at those fresh shape-ups and I had to be the one https://t.co/BESWmi01XV,432,6000,53707
JoelEmbiid,[   9    3 2021],Hahaha Second time I get you T’d up lmao GG https://t.co/ovQxl2gdK0,242,2913,38177
JoelEmbiid,[   9    3 2021],Feeling good going into the All-Star.... WE MOVE #TheProcess https://t.co/A3NLogLIIX,504,3452,36464
JoelEmbiid,[   7    2 2021],Cheers to being an All Star once again. Never take it for granted!!!! #TheProcess https://t.co/8XV83EFSja,377,1621,25191
JoelEmbiid,[   5    2 2021],@YamiOGKush @BenSimmons25 Well I guess you didn’t watch the game yesterday. His value goes beyond the stats. And Tobias has been dominating and consistent all season and the team is the #1 seed in the east,307,1607,9130
JoelEmbiid,[   5    2 2021],Don’t let me down guys @tobias31 #NBAAllStar,106,5675,11982
JoelEmbiid,[   5    2 2021],Let’s go!!! 😤😤😤 @BenSimmons25 #NBAAllStar,160,5249,15336
JoelEmbiid,[   4    1 2021],ALL STAR 😤😤 @tobias31 https://t.co/lmemdEH21O,221,1723,22142
JoelEmbiid,[   4    1 2021],Big time shot and a great win. WE MOVE #24 https://t.co/UG5KF5Fg5H,261,1573,20913
JoelEmbiid,[   4    1 2021],WE DIT IT!!!!  30-0 @EASPORTSFIFA  #FUT21 https://t.co/9mlu36T7OK,757,1273,31095
JoelEmbiid,[   3    1 2021],FREAKING BAD CALL,295,768,10523
JoelEmbiid,[   3    1 2021],These Embiid One got me feeling different this year!!!  @UAbasketball #TheProcess https://t.co/kUsl6VyFz6,280,836,14023
JoelEmbiid,[   3    1 2021],OMGGGGGGGGGGGGGGGG THANK YOU SO MUCH @EASPORTSFIFA I LOVE YOU #TOTY https://t.co/nvjskl2Pmb,559,940,24268
JoelEmbiid,[   3    1 2021],I’m gonna send y’all my credit card info... Make good use of it @EASPORTSFIFA #TOTY,202,216,5552
JoelEmbiid,[   2    1 2021],GO PACK GO!!!!!,170,716,9410
JoelEmbiid,[   1    1 2021],"6 years later, still living rent free in their heads.... YES I WOKE UP AND CHOSE VIOLENCE",505,3005,32191
JoelEmbiid,[   1    1 2021],THEY HATE THE PROCESS,601,5687,36812
JoelEmbiid,[   1    1 2021],I hope we all have the same taste #TOTY https://t.co/s2K1UDOkx7,715,247,7376
JoelEmbiid,[  53    1 2021],WE MOVE!!!!!  @sixers,251,1121,19676
JoelEmbiid,[  51   12 2020],@Castro1021 Trying to get ready for this toxic FUT champs but I need him,14,20,1284
JoelEmbiid,[  51   12 2020],@Castro1021 PlayStation unfortunately😩😩,18,3,241
JoelEmbiid,[  51   12 2020],"If you got that prime R9, can you please list him in the next 10 minutes? Thank you in advance #FIFA21 #Fut",171,158,8186
JoelEmbiid,[  48   11 2020],NIGHT NIGHT,177,752,14843
JoelEmbiid,[  48   11 2020],"I finally talked @EASPORTSFIFA into putting me on the pitch!
⚽ #Groundbreakers 

Beat me and play as me
starting December 26th
in #VOLTA 🔥 #EAathlete 

https://t.co/yaoWsv1gLI https://t.co/gv1h8DCbiE",45,67,1399
JoelEmbiid,[  46   11 2020],No new things!!! Good things happen in South Philly @PlayStation #CityOfBrotherlyLove https://t.co/16Cw1alZoU,177,405,9708
JoelEmbiid,[  46   11 2020],"There is only one way—THROUGH. That's the mentality that drives The Process. No matter how hard the loss, there's always a sign that pushes you forward. You just need to find it. The @UAbasketball #EmbiidOne “Omen” is available now. Link in bio. https://t.co/zK1qwh0luB",38,79,1220
JoelEmbiid,[  45   11 2020],Well America TRUSTED THE PROCESS and it paid off #TheProcess https://t.co/9XfWvQTZET,484,8830,67390
JoelEmbiid,[  45   11 2020],MTN DEW on everything? MTN DEW on everything! I worked with @mountaindew to make it possible #MTNDEWHotSauce https://t.co/r86ZUolpy0,114,132,1918
JoelEmbiid,[  44   10 2020],https://t.co/ibqllgKl8c https://t.co/jG8JRxnNoh,34,39,836
JoelEmbiid,[  44   10 2020],Yes sir!!! Now we can enjoy together what the league lets me get away with #PhillyForever https://t.co/7hctLSilCV,265,1554,16368
JoelEmbiid,[  44   10 2020],La remontada #HalaMadrid,143,343,3728
JoelEmbiid,[  43   10 2020],Vamos @realmadrid #HalaMadrid,89,1294,8130
JoelEmbiid,[  43   10 2020],"Rock Chalk, Jayhawk. The @UAbasketball #EmbiidOne “Lawrence” is available now. Get yours through the link in my bio. https://t.co/X2k8WwGiKT",50,126,2413
JoelEmbiid,[  43   10 2020],This is funny,165,460,8922
JoelEmbiid,[  41   10 2020],"I lost my best friend this morning!! You were so full of energy. You were so beautiful. Now who’s gonna wake me up? who’s gonna lick me nonstop if I’m crying?Who’s gonna start acting crazy and run all over the place if they don’t get attention? 
R.I.P Klaus Hinkie De Paula Embiid https://t.co/uoSV8dmlHa",1251,2177,44906
JoelEmbiid,[  41   10 2020],Go Pack Go,118,515,5687
JoelEmbiid,[  41   10 2020],Inspiring,460,3101,37495
JoelEmbiid,[  40   10 2020],We’re getting so close to “I’d 8-2 be a @ManUtd fan”!!!! Hit me up if y’all need a center back #MANTOT,268,1696,10720
JoelEmbiid,[  40   10 2020],Welcome to the city of Brotherly Love Coach @DocRivers !!!! Excited for the future and what we’re building here #PhillyForever,558,5157,48085
JoelEmbiid,[  40   10 2020],“Take my verses too serious you’ll hate me”,189,787,9510
JoelEmbiid,[  40   10 2020],So Far Gone!!!,300,731,11827
JoelEmbiid,[  40    9 2020],Let’s go @EA @EASPORTSFIFA @Ty_Stover !!! This is gonna my squad in 2 days #FIFA21 https://t.co/ttLivt4Erp,66,81,1467
JoelEmbiid,[  39    9 2020],"Arthur Elijah De Paula Embiid 👶

We are so blessed and fortunate to welcome our little boy in this family. First of 11 or more? Trying to convince her but I’m not winning so far. I’m just trying to build a soccer team but for real I’m so excited for the future #GodIsGreat https://t.co/eZaUnx90oo",1373,5469,74736
JoelEmbiid,[  38    9 2020],I’m being treated like I got deported!!! We’ll see next year,1070,1823,26337
JoelEmbiid,[  38    9 2020],"Never forget where you came from. My first @underarmour signature shoe tells the story of my Yaoundé   🇨🇲 ""Origin."" The #EmbiidOne is built for all 5 positions on ANY court. Hit link in bio to get yours. https://t.co/5MVApzBvBM",324,599,5518
JoelEmbiid,[  37    9 2020],Back to where it all began. My first @underarmour signature shoe gives love to where I fell in love with the game. 🇨🇲The #EmbiidOne “Origin” drops Friday 9/18. https://t.co/91YR7XWPoU,77,364,3208
JoelEmbiid,[  37    9 2020],"Shorter Joel Embiid is still watching 🏈 on @hulu, which has live sports #Deepfake #HuluHasLiveSports #ad #hulu https://t.co/QnlbrgC5yf",34,108,1579
JoelEmbiid,[  37    9 2020],Kyle Lowry is not appreciated as he should be #Winner,792,9233,76014
JoelEmbiid,[  37    9 2020],This game is SO GOOOOOOOOOD,194,2302,30107
JoelEmbiid,[  36    9 2020],WILD TIMES,308,1901,20896
JoelEmbiid,[  36    9 2020],Neymar for the Wiiiiiin,140,901,9832
JoelEmbiid,[  36    9 2020],Penalty shootout just like in football,79,612,7547
JoelEmbiid,[  36    9 2020],Hahahahahahahaha #Lmao,187,2026,17288
JoelEmbiid,[  36    9 2020],That’s not a foul,281,2697,25975
JoelEmbiid,[  36    9 2020],Life’s great #TheProcess https://t.co/GOWlqJkgNR,344,1455,17749
JoelEmbiid,[  36    9 2020],That Mountain Dew commercial is great,211,449,9168
JoelEmbiid,[  36    9 2020],I’m still really unhappy,3675,13213,112656
JoelEmbiid,[  36    9 2020],Jimmy Butler #TooGood,977,7848,69701
JoelEmbiid,[  36    9 2020],IF......,1351,3140,29732
JoelEmbiid,[  34    8 2020],Process This 💪🏾 @slam @uabasketball https://t.co/isQud7N8lI,250,525,6006
JoelEmbiid,[  33    8 2020],HALA MADRID!!!!!!,629,6538,32211
JoelEmbiid,[  32    8 2020],Definitely not the same energy!!!!,222,1032,12118
JoelEmbiid,[  32    8 2020],Game Day! Excited to finally show off my @uabasketball Embiid One. Available 9.18 @underarmour https://t.co/QqJmOhYn20,231,625,6299
JoelEmbiid,[  32    8 2020],Through it all…We work. We struggle. We triumph.  #Origin #TheOnlyWayIsThrough #ComingSoon https://t.co/JPqKkjx48M,37,103,1484
JoelEmbiid,[  32    8 2020],Shake came up to me before the game and said “IT BECAME PERSONAL FOR ME” just like MJ lmao!! Nice shot young fella #TheProcess https://t.co/8XMQVdo2Wd,184,3128,34566
JoelEmbiid,[  29    7 2020],WE ARE CHAMPIONS!!!!!! WE DID IT... LET’S GO @realmadrid #HalaMadrid,209,3171,15667
JoelEmbiid,[  26    6 2020],SERGIO RAMOS!!!! WHAT A FREE KICK #HalaMadrid,105,1361,10252
JoelEmbiid,[  25    6 2020],No one cares about anything other than FIFA 21 #EAPlayLive,302,869,11649
JoelEmbiid,[  25    6 2020],HALA MADRID,190,2201,12177
JoelEmbiid,[  25    6 2020],I need car options any recommendations???,3386,297,11149
JoelEmbiid,[  25    6 2020],"After nine years in America, I FINALLY got my driver license",1232,4049,95140
JoelEmbiid,[  19    5 2020],FRANCIS NGANNOU 🇨🇲🇨🇲🇨🇲🇨🇲#UFC249,106,1145,9107
JoelEmbiid,[  16    4 2020],I’ve accepted the #ALLINCHALLENGE. Watch the video below &amp; go to https://t.co/b3ceakIuZA https://t.co/QDQowCwDIq,120,330,3385
JoelEmbiid,[  13    3 2020],We’re with you brother!!! We’ll keep praying @KarlTowns,394,6193,71588
JoelEmbiid,[  13    3 2020],https://t.co/unmlaCUiJE https://t.co/0HSwiFSnlh https://t.co/UIYf9okLhb,219,3222,22086
JoelEmbiid,[  13    3 2020],"In these trying times, I’m proud of the Sixers organization for reversing course and “doing a 180”. Let’s focus on beating this Coronavirus now. Let’s be responsible and Trust the Process!!",436,3489,33342
JoelEmbiid,[  12    3 2020],Need all of these in FIFA 21 especially the part with managers and offers @EA @EASPORTSFIFA https://t.co/XhB7ddSWDh,117,321,3295
JoelEmbiid,[  12    3 2020],Blessed to see another year but damn I’m getting old... I wish it could’ve been in different circumstances but all we can do is Pray and take the necessary measures to protect ourselves and others. Also TRUST THE PROCESS #26 https://t.co/JIvi0bJw6A,893,3760,41195
JoelEmbiid,[  11    3 2020],"Career mode is basically my life and it has so potential, so many ideas to make it fun. Might be too late but FIFA 21 is approaching. It’s been a while since we made adjustments so let’s do it BUT FIRST can we fix the problems now? Lol @EA @EASPORTSFIFA @EAHelp",142,404,4873
JoelEmbiid,[  11    3 2020],"CM is all I play. For the last 2 months, y’all had me thinking that I’m not that good anymore when in fact the new ULTIMATE DIFFICULTY is a little EXAGGERATED so can we give attention to CM instead of FUT Even if we have to pay?Just a little harder than the old one @EASPORTSFIFA",267,790,9192
JoelEmbiid,[  10    3 2020],JOËL “DO A 180” EMBIID https://t.co/reO1V3nCQt,589,14671,109403
JoelEmbiid,[   9    3 2020],Shake!!!!  BANG BANG,104,875,11205
JoelEmbiid,[   9    3 2020],Let’s play some defense,213,566,10110
JoelEmbiid,[   9    3 2020],#HalaMadrid @realmadrid,518,5529,29494
JoelEmbiid,[   9    2 2020],Well That was FUN!!!!! #TheProcess https://t.co/6EVkchKN1Y,303,1547,18715
JoelEmbiid,[   8    2 2020],It’s great to smile sometimes🤓 Relentless team!!! Let’s keep it going #TheProcess https://t.co/8jt6MLj5cQ,201,1022,13000
JoelEmbiid,[   8    2 2020],BEST ALL STAR GAME EVER!!!!! Fun weekend but can’t wait to go on this championship run #3 https://t.co/apnXRq5unH,308,1875,29583
JoelEmbiid,[   7    2 2020],AG GOT ROBBED AGAIN #BS,332,9380,43759
JoelEmbiid,[   7    2 2020],HOLY SHIT!!! THIS IS GOOD,54,835,8733
JoelEmbiid,[   7    2 2020],Came on here just to see y’all drag isiah Thomas lmao,277,1693,17443
JoelEmbiid,[   7    2 2020],BROTHERLY LOVE #MyCity https://t.co/dSCQqw0Yed,669,4440,36235
JoelEmbiid,[   7    2 2020],Made for this... If I can take it then you can too. PHILA TOUGH!!! #AllLove https://t.co/hno6UH1GPD,1689,3993,32342
JoelEmbiid,[   7    2 2020],"""You either die a hero or live long enough to see yourself become the villain.” #TheProcess https://t.co/m5EPaKcsfb",1655,3491,29549
JoelEmbiid,[   6    2 2020],What’s going on? What’s happening?,1813,3303,35937
JoelEmbiid,[   4    1 2020],"Man I don’t even know where to start😭😭 I started playing ball because of KOBE after watching the 2010 finals. I had never watched ball before that and that finals was the turning point of my life. I WANTED TO BE LIKE KOBE. I’m so FREAKING SAD right now!!!! 

RIP LEGEND",527,39868,316468
JoelEmbiid,[   3    1 2020],WOW THAT WAS QUICK,172,1637,19132
JoelEmbiid,[   3    1 2020],"I’M TRYING TO WIN A F***** TITLE 

https://t.co/8QZRdQLvws",622,3291,16411
JoelEmbiid,[   3    1 2020],#UAEmbiid1 @underarmour the only way is through https://t.co/VKyJegsgMj,100,394,3434
JoelEmbiid,[   3    1 2020],GO PACK GO,268,1788,16125
JoelEmbiid,[   2    1 2020],HALA MADRID #Campeones,234,3836,19593
JoelEmbiid,[  48   11 2019],Hala Madrid,1016,2363,15143
JoelEmbiid,[  47   11 2019],Vamos Flamengo #Caralho,650,4433,17401
JoelEmbiid,[  44   11 2019],WHAT A COMEBACK!!! Let’s keep rolling #Furk,291,3391,34951
JoelEmbiid,[  44   10 2019],I’m done talking trash🏆🏆🏆👀,1719,4296,42827
JoelEmbiid,[  44   10 2019],That tough guy act ain’t cutting it .... you know what you are.. you know what you’ve always been&gt;&gt;&gt; A PUSSY  (SAY IT LOUDER FOR PEOPLE IN THE BACK) Been kicking your ass and pretty please make the playoffs before you talk. It’s a known thing that I OWN YOU. @KarlTowns https://t.co/Izqwk3pEnM,3548,26048,85497
JoelEmbiid,[  44   10 2019],Great team win!!! I was raised around lions and a cat pulled on me tonight lmao.. Got his mama giving middle fingers left and right. That’s some SERIOUS REAL ESTATE #FightNight #IAintNoBitch https://t.co/MWc9p0jy7u,1512,12244,52360
JoelEmbiid,[  43   10 2019],😤😤😤😤 https://t.co/iNgSFnC2OH,461,3935,20435
JoelEmbiid,[  43   10 2019],#NBALIVE Mobile Season 4 is here. Draft your all-new team featuring Superstars (LIKE ME!) and let’s hoop! #EAathlete https://t.co/LzBeDgnjVp,57,50,776
JoelEmbiid,[  41   10 2019],On the road to another one #TheProcess https://t.co/yuUTQ5KcMe,151,1064,10259
JoelEmbiid,[  40   10 2019],Go Pack Go,430,1599,12384
JoelEmbiid,[  39    9 2019],Be Careful.... I’m gonna send my manz for y’all @eagles https://t.co/GguUZydKRK,791,2821,25353
JoelEmbiid,[  39    9 2019],Go Pack Go,2681,3183,18229
JoelEmbiid,[  38    9 2019],Kevin De Bruyne&gt;&gt;&gt; BEST midfielder in the world BY FAR 🐐🐐🐐,362,3926,19823
JoelEmbiid,[  37    9 2019],"They said the @paquichips #OneChipChallenge was hot, but for me, it was no sweat. Okay, maybe just a little sweat… Watch to find out who I challenge to take on the world’s hottest chip. 🔥☠️🔥 #ad https://t.co/lgPaW18WUr",72,295,1680
JoelEmbiid,[  37    9 2019],"The @paquichips #OneChipChallenge is BACK. Watch me take on the world’s hottest chip tomorrow, Friday the 13th. To be continued… 👀🔥 #ad https://t.co/EzC3DCWuY3",35,53,653
JoelEmbiid,[  36    9 2019],Go Pack Go,571,1778,13299
JoelEmbiid,[  35    9 2019],All good Coco!!! Keep working hard and come back stronger #TrustTheProcess,50,460,5081
JoelEmbiid,[  35    8 2019],“Maracanã” #Skillz https://t.co/4UQBFZUmQZ,380,1914,14665
JoelEmbiid,[  35    8 2019],Coco deserves it... Keep fighting!!!!! On to the next one,62,311,5178
JoelEmbiid,[  27    7 2019],Bruh watching Coco Gauff is low key like watching game 7 #NiceWin,111,1074,10125
JoelEmbiid,[  26    6 2019],https://t.co/RIlVrVFxpG,615,13510,79812
JoelEmbiid,[  25    6 2019],"Scientifically tested, @EASPORTSNBALM Cover Athlete proven. @UnderArmour RUSH is scientifically designed to enhance performance. So trust #theprocess and feel the power of #UARUSH in #NBALIVEMobile. #EAathlete https://t.co/UVdjwJQiXi",71,98,1244
JoelEmbiid,[  24    6 2019],WOWWWW,148,1210,12600
JoelEmbiid,[  24    6 2019],Why are they cheering for his injury? Come on man #Disguting,2708,24570,110909
JoelEmbiid,[  23    6 2019],One hand wash away lmao,357,2239,13937
JoelEmbiid,[  23    6 2019],REGRETS,1352,6483,41866
JoelEmbiid,[  20    5 2019],Hell of a season. Proud of my guys and I appreciate all the support you guys gave us all season long. Extremely disappointed and fell short of our goal but this is the motivation I needed and best believe I’ll be BACK EVEN BETTER AND STRONGER #TheProcess https://t.co/sN7ufCM1pD,2046,11540,90734
JoelEmbiid,[  15    4 2019],"No matter what I’m playing, I like to win. HyperX has captured that spirit with my gaming persona. Watch me dominate. #hyperxfamily https://t.co/sLAui1mUcH",177,175,2281
JoelEmbiid,[  15    4 2019],Head to https://t.co/6PZigVi4of to enter for your  chance to go 1v1 with me in a video game.  Rules: (https://t.co/qaCPsIDPqX) #Heretheycome,38,39,479
JoelEmbiid,[  13    3 2019],"Come at me, cable 😂😂😂 #HuluHasLiveSports #HuluSellouts #JoelHuluHasLiveSportsEmbiid #Ad https://t.co/RZ6csLaEsG",80,269,2729
JoelEmbiid,[  12    3 2019],Rock with me!!!! Nothing but LOVE #TheProcess https://t.co/NBPFEq0LmB,212,1983,21316
JoelEmbiid,[  11    3 2019],“Klaus Hinkie De Paula Embiid” balling in his new furrari ❤️#TheProcess #HeDiedForOurSins #VampireDiaries https://t.co/yzBEfxO4dB,245,2242,17842
JoelEmbiid,[  10    3 2019],We need to go out and sign players this summer.... Tough times as a Madrid fan!!!! Hi @hazardeden10 lol #HalaMadrid,911,4733,16126
JoelEmbiid,[   7    2 2019],"From now on, my name is Joel “Hulu has Live Sports” Embiid ⁦@hulu⁩ #hulusellouts https://t.co/2ou26AVBBI",110,758,8984
JoelEmbiid,[   7    2 2019],All-Stars are live now in @EASPORTSNBALM! Recruit me for your All-Star team in #NBALIVEMobile today! https://t.co/qHqxc23uyr,45,87,971
JoelEmbiid,[   6    2 2019],Ok....... https://t.co/CCpzig8mxC,535,4662,32593
JoelEmbiid,[   5    1 2019],Lololololololololololololololololololololololololololololololololololololololololololo,742,16233,83021
JoelEmbiid,[   3    1 2019],It was an honor to be part of the 3rd stringers and get a win against real NBA starters #TheProcess https://t.co/uPw7F0WjLo,801,10280,60563
JoelEmbiid,[   2    1 2019],OMG Big........... did it again #FlyEaglesFly,154,5014,31114
JoelEmbiid,[   2    1 2019],"Bend, don’t break #FlyEaglesFly",56,1656,12140
JoelEmbiid,[   2    1 2019],Philly special!!!!!,82,1477,16910
JoelEmbiid,[   1    1 2019],James Harden #NBAVote,241,13475,48165
JoelEmbiid,[   1    1 2019],OMG,88,1653,14080
JoelEmbiid,[   1    1 2019],Lmao how do you miss that??????😂😂😂😂😂😂,267,3639,28100
JoelEmbiid,[   1   12 2018],"We're live @eBay4CharityUS!
 
Help me make a difference with @BGCPHila! My signed, game-worn Christmas Day shoe and a court-side experience to a @Sixers game is open for auction. #AuctionCause
https://t.co/d3ufdKe5Fn",28,114,746
JoelEmbiid,[  47   11 2018],We always gotta make things interesting #TheProcess https://t.co/9uRJMdEuhQ,168,1123,13597
JoelEmbiid,[  44   11 2018],Life is fun and I love having fun,390,11321,51285
JoelEmbiid,[  44   11 2018],I own a lot of real estate in @andredrummondd head and I’m on my way to build more 🏘🏘🏘 #Bum #TheProcess https://t.co/Mrf2NcNL4r,1520,24720,83762
JoelEmbiid,[  44   11 2018],Great win tonight #TheProcess https://t.co/v2RkDZwqtZ,129,1242,15863
JoelEmbiid,[  43   10 2018],Don’t make me say it again. Don’t Call Me. @GrinchMovie #ad https://t.co/m6Yq0LVy0y,67,608,4635
JoelEmbiid,[  43   10 2018],Exclusive 360 video from my @GQMagazine shoot. Presented by #Pixel3 https://t.co/ffPNogHxXS,72,116,960
JoelEmbiid,[  42   10 2018],Had to pull out so we didn’t regret it later... Great win #TheProcess https://t.co/blMsyIqgjG,252,3450,24405
JoelEmbiid,[  42   10 2018],Tough start but “Jalen Rose” more to go #TheProcess #81 https://t.co/wWxwmoYNjg,267,3104,22191
JoelEmbiid,[  41   10 2018],Beyond excited and blessed to join the @underarmour family... Big things ahead and Trust The Process #GOD https://t.co/3eRwhu032B,144,990,9672
JoelEmbiid,[  40   10 2018],It’s been an amazing experience and time out here in China... Loving it #TheProcess https://t.co/GAq2EPcQzZ,48,402,5976
JoelEmbiid,[  40   10 2018],Joel Bond https://t.co/8j76xd7uPT,70,894,11758
JoelEmbiid,[  39    9 2018],"Be one of the first 10,000 fans at the @blue_coats home opener on Nov. 20 at @WellsFargoCtr and you’ll receive this bobblehead. Tickets go on sale Oct. 3. #TheProcess https://t.co/VlCVFmE4if",52,234,2178
JoelEmbiid,[  39    9 2018],Training camp vibezzzzz #TheProcess https://t.co/Ws0fIaTEJF,76,864,11854
JoelEmbiid,[  38    9 2018],It’s that time of the year.. Been ready #TheProcess https://t.co/P1RmqNkVMn,236,3597,26840
JoelEmbiid,[  38    9 2018],BRUH https://t.co/PYuYNU4fFe,111,3613,34030
JoelEmbiid,[  38    9 2018],Congrats EB.. Trust It https://t.co/OBhwkENXsC,98,1701,17763
JoelEmbiid,[  37    9 2018],LEGENDARY @AaronRodgers12,38,1419,9553
JoelEmbiid,[  37    9 2018],AARON FREAKING RODGERS... WHAT A WARRIOR WOW. I LOVE HIM SO MUCH🐐🐐🐐🐐 #GoPackGo,177,3553,24310
JoelEmbiid,[  36    9 2018],PHILLY SPECIAL LMAO🐐🐐🐐,116,6732,36277
JoelEmbiid,[  35    8 2018],"STORY TIME @PlayersTribune 
https://t.co/R9rnDW8wNe",225,4424,15062
JoelEmbiid,[  35    8 2018],Your Court. Your Rules. #CourtBattles A whole new way to play in #NBALIVE19 #EAathlete. Download the demo now. https://t.co/qiuVypdGXt,41,89,785
JoelEmbiid,[  35    8 2018],DIANA TAURASI wowww,69,769,7202
